Source                         & alpha-avg            & avg-fth33             & fth33-fix               & Galaxy
MCG+12-02-001 (S-WE-2-ext)     & $-0.63\pm 0.08$      & $0.37\pm0.13$         & $0.47_{-0.04}^{+0.04}$  & MCG+12-02-001
MCG+12-02-001 (S-WE-3-tot)     & $-0.69\pm 0.08$      & $0.28\pm0.13$         & $0.80_{-0.02}^{+0.02}$  & MCG+12-02-001
MCG+12-02-001 (S-WE-3-uc)      & $-0.69\pm 0.08$      & $0.28\pm0.13$         & $0.80_{-0.02}^{+0.02}$  & MCG+12-02-001
MCG+12-02-001 (S-WE-3-ext)     & ---                  & ---                   & ---                     & MCG+12-02-001
MCG+12-02-001 (S-ext)          & $-0.89\pm 0.02$      & $0.16\pm0.04$         & $0.36_{-0.04}^{+0.03}$  & MCG+12-02-001
VV705 (N-tot)                  & $-0.73\pm 0.02$      & $0.26\pm0.04$         & $0.65_{-0.05}^{+0.04}$  & VV705
VV705 (N-uc)                   & $-0.61\pm 0.03$      & $0.47\pm0.05$         & $0.54_{-0.03}^{+0.03}$  & VV705
VV705 (N-ext)                  & $-0.90\pm 0.05$      & $0.20\pm0.09$         & $0.35_{-0.16}^{+0.23}$  & VV705
VV705 (S-tot)                  & $-0.90\pm 0.01$      & $0.20\pm0.02$         & $0.37_{-0.06}^{+0.08}$  & VV705
VV705 (S-1-uc)                 & $-0.45\pm 0.05$      & $0.68\pm0.06$         & $0.64_{-0.05}^{+0.05}$  & VV705
VV705 (S-2-uc)                 & ---                  & ---                   & ---                     & VV705
VV705 (S-ext)                  & $-1.34$              & $0.17$                & $0.42_{-0.17}^{+0.16}$  & VV705
UGC05101-2 (CE-tot2)           & $-0.86\pm 0.02$      & $0.18\pm0.02$         & $0.02_{-0.01}^{+0.02}$  & UGC05101
UGC05101-2 (CE-uc2)            & $-0.95\pm 0.01$      & $0.18\pm0.02$         & $0.02_{-0.01}^{+0.01}$  & UGC05101
UGC05101-2 (CE-ext2)           & $-0.82\pm 0.02$      & $0.07\pm0.04$         & $0.04_{-0.03}^{+0.07}$  & UGC05101
UGC08696-2 (NWE-tot2)          & $-0.78\pm 0.01$      & $0.13\pm0.01$         & $0.15_{-0.05}^{+0.04}$  & UGC08696
UGC08696-2 (NWE-uc2)           & $-0.78\pm 0.02$      & $0.14\pm0.05$         & $0.13_{-0.05}^{+0.05}$  & UGC08696
UGC08696-2 (NWE-ext2)          & $-0.79\pm 0.01$      & $0.13\pm0.02$         & $0.13_{-0.06}^{+0.06}$  & UGC08696
UGC08696-2 (SE-tot-uc2)        & $-1.15\pm 0.04$      & $0.16\pm0.05$         & $0.02_{-0.00}^{+0.01}$  & UGC08696
